Gene	Biotype	Gene_start	Gene_end	Index_SNP	P-value	CLOZUK_loci	chr	Loci_start	Loci_end	GWS in CLOZUK
SLC12A4	protein_coding	67977377	68003504	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
SLC7A6	protein_coding	68298433	68335722	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
SLC7A6OS	protein_coding	68318406	68344849	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
THAP11	protein_coding	67876213	67878097	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
TSNAXIP1	protein_coding	67840668	67866051	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
EPC2	protein_coding	149402009	149545130	rs200327371	1.59E-08	86	2	149390778	149520178	No
ATPAF2	protein_coding	17880723	17942523	rs12948749	1.77E-08	87	17	17722402	18030202	Yes
DRG2	protein_coding	17991200	18011285	rs12948749	1.77E-08	87	17	17722402	18030202	Yes
GID4	protein_coding	17942606	17971718	rs12948749	1.77E-08	87	17	17722402	18030202	Yes
LRRC48	protein_coding	17876127	17920203	rs12948749	1.77E-08	87	17	17722402	18030202	Yes
MYO15A	protein_coding	18012020	18083116	rs12948749	1.77E-08	87	17	17722402	18030202	Yes
RAI1	protein_coding	17584787	17714767	rs12948749	1.77E-08	87	17	17722402	18030202	Yes
SREBF1	protein_coding	17713713	17740325	rs12948749	1.77E-08	87	17	17722402	18030202	Yes
TOM1L2	protein_coding	17746828	17875736	rs12948749	1.77E-08	87	17	17722402	18030202	Yes
TLE3	protein_coding	70340129	70390515	rs12148337	1.79E-08	88	15	70573672	70628872	Yes
CNOT1	protein_coding	58553855	58663790	rs154437	1.87E-08	89	16	58669293	58682833	Yes
SLC38A7	protein_coding	58699013	58719008	rs154437	1.87E-08	89	16	58669293	58682833	Yes
CLU	protein_coding	27454434	27472548	rs11783093	2.10E-08	90	8	27412627	27453627	Yes
EPHX2	protein_coding	27348296	27403081	rs11783093	2.10E-08	90	8	27412627	27453627	Yes
NLGN4X	protein_coding	5758678	6146904	rs12009217	2.21E-08	91	X	5916533	6032733	Yes
RIMS1	protein_coding	72596406	73112845	rs1339227	2.69E-08	92	6	73132701	73171901	Yes
DFNA5	protein_coding	24737972	24809244	rs146678232	2.85E-08	93	7	24619494	24832094	Yes
MPP6	protein_coding	24612887	24733812	rs146678232	2.85E-08	93	7	24619494	24832094	Yes
OSBPL3	protein_coding	24836158	25021253	rs146678232	2.85E-08	93	7	24619494	24832094	Yes
MAN2A1	protein_coding	109025067	109205326	rs71575306	3.05E-08	94	5	109030036	109209066	No
MIR548AJ2	miRNA	37883148	37883239	rs215411	3.06E-08	95	4	23366403	23443403	Yes
GALNT10	protein_coding	153570290	153800544	rs11740474	3.15E-08	96	5	153671057	153688217	No
C11orf87	protein_coding	109292846	109299840	rs12421382	3.70E-08	97	11	109285471	109610071	No
IMMP2L	protein_coding	110303110	111202573	rs211829	3.71E-08	98	7	110034393	110106693	Yes
TMTC1	protein_coding	29653773	29937692	rs679087	3.91E-08	99	12	29905265	29940365	No
PODXL	protein_coding	131185021	131242976	rs7801375	4.42E-08	100	7	131539263	131567263	Yes
BRINP2	protein_coding	177140058	177251558	rs6670165	4.45E-08	101	1	177247821	177300821	Yes
C1orf132	processed_transcript	207974863	208042495	rs10863593	4.47E-08	102	1	207912183	208024083	No
CD46	protein_coding	207925402	207968858	rs10863593	4.47E-08	102	1	207912183	208024083	No
CR1L	protein_coding	207818458	207911761	rs10863593	4.47E-08	102	1	207912183	208024083	No
KCNB1	protein_coding	47980414	48099184	rs7267348	4.56E-08	103	20	48114136	48131649	No
PTGIS	protein_coding	48120411	48184683	rs7267348	4.56E-08	103	20	48114136	48131649	No
C12orf79	protein_coding	92378756	92536690	rs4240748	4.59E-08	104	12	92243186	92258286	Yes
DPP4	protein_coding	162848751	162931052	rs34685708	4.62E-08	105	2	162798555	162910255	No
SLC4A10	protein_coding	162280843	162841792	rs34685708	4.62E-08	105	2	162798555	162910255	No
NOSIP	protein_coding	50058968	50093519	rs56873913	4.69E-08	106	19	50067499	50135399	Yes
PRR12	protein_coding	50094900	50129696	rs56873913	4.69E-08	106	19	50067499	50135399	Yes
PRRG2	protein_coding	50083903	50094272	rs56873913	4.69E-08	106	19	50067499	50135399	Yes
RCN3	protein_coding	50030875	50050219	rs56873913	4.69E-08	106	19	50067499	50135399	Yes
RRAS	protein_coding	50138549	50143458	rs56873913	4.69E-08	106	19	50067499	50135399	Yes
SCAF1	protein_coding	50145382	50161899	rs56873913	4.69E-08	106	19	50067499	50135399	Yes
C12orf42	protein_coding	103631369	103889788	rs10860964	4.84E-08	107	12	103559855	103616655	No
AC005609.1	protein_coding	140240341	140243224	rs70988775	4.85E-08	108	5	140023664	140222664	No
CD14	protein_coding	140011313	140013286	rs70988775	4.85E-08	108	5	140023664	140222664	No
DND1	protein_coding	140050379	140053171	rs70988775	4.85E-08	108	5	140023664	140222664	No
HARS	protein_coding	140052758	140071609	rs70988775	4.85E-08	108	5	140023664	140222664	No
HARS2	protein_coding	140071011	140078889	rs70988775	4.85E-08	108	5	140023664	140222664	No
IK	protein_coding	140026643	140042064	rs70988775	4.85E-08	108	5	140023664	140222664	No
NDUFA2	protein_coding	140018325	140027370	rs70988775	4.85E-08	108	5	140023664	140222664	No
PCDHA1	protein_coding	140165876	140391929	rs70988775	4.85E-08	108	5	140023664	140222664	No
PCDHA10	protein_coding	140235595	140391929	rs70988775	4.85E-08	108	5	140023664	140222664	No
PCDHA2	protein_coding	140174444	140391929	rs70988775	4.85E-08	108	5	140023664	140222664	No
PCDHA3	protein_coding	140180783	140391929	rs70988775	4.85E-08	108	5	140023664	140222664	No
PCDHA4	protein_coding	140186659	140391929	rs70988775	4.85E-08	108	5	140023664	140222664	No
PCDHA5	protein_coding	140201222	140391929	rs70988775	4.85E-08	108	5	140023664	140222664	No
PCDHA6	protein_coding	140207563	140391929	rs70988775	4.85E-08	108	5	140023664	140222664	No
PCDHA7	protein_coding	140213969	140391929	rs70988775	4.85E-08	108	5	140023664	140222664	No
PCDHA8	protein_coding	140220907	140391929	rs70988775	4.85E-08	108	5	140023664	140222664	No
PCDHA9	protein_coding	140227048	140391929	rs70988775	4.85E-08	108	5	140023664	140222664	No
TMCO6	protein_coding	140019012	140024993	rs70988775	4.85E-08	108	5	140023664	140222664	No
WDR55	protein_coding	140044261	140053709	rs70988775	4.85E-08	108	5	140023664	140222664	No
ZMAT2	protein_coding	140078265	140086248	rs70988775	4.85E-08	108	5	140023664	140222664	No
