Gene	Biotype	Gene_start	Gene_end	Index_SNP	P-value	CLOZUK_loci	chr	Loci_start	Loci_end	GWS in PGC2
ETF1	protein_coding	137841784	137878989	rs13169274	7.06E-10	75	5	137838122	137948140	Yes
HSPA9	protein_coding	137890571	137911133	rs13169274	7.06E-10	75	5	137838122	137948140	Yes
SNORD63	snoRNA	28573775	28573838	rs13169274	7.06E-10	75	5	137838122	137948140	Yes
ZNF823	protein_coding	11832080	11849824	rs72986630	8.09E-10	76	19	11849736	11849736	No
ADAMTS7P1	pseudogene	82590891	82626963	rs783540	8.45E-10	77	15	82827938	83391537	No
AP3B2	protein_coding	83328033	83378666	rs783540	8.45E-10	77	15	82827938	83391537	No
CPEB1	protein_coding	83211951	83317612	rs783540	8.45E-10	77	15	82827938	83391537	No
GOLGA6L9	protein_coding	82722223	82731338	rs783540	8.45E-10	77	15	82827938	83391537	No
GOLGA6L10	protein_coding	82635130	82641706	rs783540	8.45E-10	77	15	82827938	83391537	No
GOLGA6L17P	pseudogene	82804003	82810874	rs783540	8.45E-10	77	15	82827938	83391537	No
GOLGA2P10	pseudogene	82763613	82798352	rs783540	8.45E-10	77	15	82827938	83391537	No
CPEB1-AS1	ncRNA	83316521	83361572	rs783540	8.45E-10	77	15	82827938	83391537	No
ACTG1P17	pseudogene	83394632	83408532	rs783540	8.45E-10	77	15	82827938	83391537	No
LOC338963	pseudogene	83379223	83382745	rs783540	8.45E-10	77	15	82827938	83391537	No
LOC727751	pseudogene	82944750	82976258	rs783540	8.45E-10	77	15	82827938	83391537	No
LOC102724034	ncRNA	83112062	83113589	rs783540	8.45E-10	77	15	82827938	83391537	No
RPS17	protein_coding	82821158	82824972	rs783540	8.45E-10	77	15	82827938	83391537	No
UBE2Q2P2	pseudogene	82647360	82712277	rs783540	8.45E-10	77	15	82827938	83391537	No
ADAMTSL3	protein_coding	84322838	84708594	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
ALPK3	protein_coding	85359911	85416713	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
DNM1P41	pseudogene	84835299	84839736	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
EFTUD1P1	pseudogene	84748920	84795356	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
GOLGA2P7	pseudogene	84867600	84898888	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
GOLGA6L4	protein_coding	84904525	84914120	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
GOLGA6L5P	pseudogene	85051116	85060045	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
LINC00933	pseudogene	85113880	85123406	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
LOC440300	pseudogene	84860600	84878046	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
LOC102724034	ncRNA	83112062	83113589	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
LOC103171574	ncRNA	84977217	84980581	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
NMB	protein_coding	85198360	85201794	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
SCAND2P	pseudogene	85174682	85185695	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
SEC11A	protein_coding	85212775	85259947	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
UBE2Q2L	protein_coding	84841242	84850986	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
UBE2Q2P1	pseudogene	85070012	85114447	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
WDR73	protein_coding	85185999	85197574	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
ZNF592	protein_coding	85291866	85349659	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
ZSCAN2	protein_coding	85144217	85171027	rs12908161	9.41E-10	78	15	84703470	85392298	Yes
ALMS1	protein_coding	73612886	73837920	rs56145559	1.01E-09	79	2	73552542	73900900	No
ALMS1-IT1	sense_intronic	73683891	73686611	rs56145559	1.01E-09	79	2	73552542	73900900	No
ALMS1P	pseudogene	73872046	73912703	rs56145559	1.01E-09	79	2	73552542	73900900	No
NAT8	protein_coding	73867959	73869520	rs56145559	1.01E-09	79	2	73552542	73900900	No
GABBR2	protein_coding	101050391	101471479	rs10985817	1.02E-09	80	9	101065115	101076627	No
LUZP2	protein_coding	24518516	25104150	rs1899543	1.23E-09	81	11	24367339	24412992	Yes
BTBD18	protein_coding	57510986	57519253	rs7129727	1.47E-09	82	11	57385856	57681828	Yes
C11orf31	protein_coding	57508825	57510986	rs7129727	1.47E-09	82	11	57385856	57681828	Yes
CLP1	protein_coding	57416465	57429340	rs7129727	1.47E-09	82	11	57385856	57681828	Yes
CTNND1	protein_coding	57520715	57587018	rs7129727	1.47E-09	82	11	57385856	57681828	Yes
MED19	protein_coding	57471186	57479693	rs7129727	1.47E-09	82	11	57385856	57681828	Yes
MIR130A	miRNA	57408671	57408759	rs7129727	1.47E-09	82	11	57385856	57681828	Yes
SERPING1	protein_coding	57364860	57382326	rs7129727	1.47E-09	82	11	57385856	57681828	Yes
TMX2	protein_coding	57480072	57508445	rs7129727	1.47E-09	82	11	57385856	57681828	Yes
TMX2-CTNND1	protein_coding	57480077	57559058	rs7129727	1.47E-09	82	11	57385856	57681828	Yes
YPEL4	protein_coding	57412560	57417417	rs7129727	1.47E-09	82	11	57385856	57681828	Yes
ZDHHC5	protein_coding	57435219	57468659	rs7129727	1.47E-09	82	11	57385856	57681828	Yes
KCNG2	protein_coding	77623668	77660184	rs56775891	2.03E-09	83	18	77566535	77579812	No
TBC1D5	protein_coding	17198654	18486309	rs11409090	2.11E-09	84	3	17221017	17888256	Yes
IMMP2L	protein_coding	110303110	111202573	rs211829	2.29E-09	85	7	110034378	110106697	Yes
VPS13C	protein_coding	62144588	62352672	rs12898315	2.51E-09	86	15	61831680	61909712	Yes
RERE	protein_coding	8412457	8877702	rs34269918	3.27E-09	87	1	8392592	8701288	Yes
SLC45A1	protein_coding	8377886	8404227	rs34269918	3.27E-09	87	1	8392592	8701288	Yes
BNIP3L	protein_coding	26240414	26363152	rs1042992	3.67E-09	88	8	26190836	26279173	No
PPP2R2A	protein_coding	26149007	26230196	rs1042992	3.67E-09	88	8	26190836	26279173	No
CUL3	protein_coding	225334867	225450110	rs11685299	3.86E-09	89	2	225334070	225467840	Yes
ZNF804A	protein_coding	185463093	185804219	rs10196799	4.51E-09	91	2	185601420	185785791	Yes
CPNE8	protein_coding	39040624	39301232	rs10783624	5.44E-09	92	12	39448519	39533484	No
FHIT	protein_coding	59735036	61237194	rs1353545	5.67E-09	93	3	60287845	60293004	No
LOC101928782	ncRNA	131594979	131633712	rs7801375	6.27E-09	94	7	131539274	131627162	Yes
GRIN2A	protein_coding	9852376	10276611	rs7191183	6.31E-09	95	16	9875513	9960879	Yes
MMP16	protein_coding	89044237	89340254	rs7010876	6.51E-09	96	8	89221915	89462854	Yes
RALGAPA2	protein_coding	20370196	20693131	rs6035706	7.24E-09	97	20	20817745	20830612	No
ASCL1	protein_coding	103351464	103354294	rs36104021	7.31E-09	98	12	103361112	103382325	No
AIG1	protein_coding	143381633	143661441	rs72342102	7.93E-09	99	6	143645035	143707354	No
LINC01884	ncRNA	22759351	22761160	rs12712510	8.18E-09	100	2	22621296	22753225	No
CSMD1	protein_coding	2792875	4852494	rs139425113	8.48E-09	101	8	4177791	4208761	Yes
AKAP6	protein_coding	32798479	33300567	rs34179565	8.88E-09	102	14	33292743	33309495	No
DOPEY1	protein_coding	83777385	83881069	rs4470825	8.94E-09	103	6	83789798	83897565	No
PGM3	protein_coding	83870869	83903655	rs4470825	8.94E-09	103	6	83789798	83897565	No
RWDD2A	protein_coding	83903098	83908651	rs4470825	8.94E-09	103	6	83789798	83897565	No
UBE3D	protein_coding	83602117	83775560	rs4470825	8.94E-09	103	6	83789798	83897565	No
FOXP1	protein_coding	71003844	71633140	rs7632921	9.52E-09	104	3	71481192	71611630	No
MIR1284	miRNA	71591121	71591240	rs7632921	9.52E-09	104	3	71481192	71611630	No
PSD3	protein_coding	18384811	18942240	rs2410572	1.07E-08	105	8	18396405	18429406	No
ARL14EP	protein_coding	30344598	30359774	rs1765142	1.13E-08	106	11	30240470	30395895	No
FSHB	protein_coding	30252563	30256808	rs1765142	1.13E-08	106	11	30240470	30395895	No
MPPED2	protein_coding	30406040	30608419	rs1765142	1.13E-08	106	11	30240470	30395895	No
NDFIP2	protein_coding	80055287	80130210	rs9545047	1.15E-08	107	13	79855297	80162555	No
NDFIP2-AS1	antisense	80051499	80055366	rs9545047	1.15E-08	107	13	79855297	80162555	No
RBM26	protein_coding	79885962	79980612	rs9545047	1.15E-08	107	13	79855297	80162555	No
RBM26-AS1	antisense	79980444	79998463	rs9545047	1.15E-08	107	13	79855297	80162555	No
BRINP2	protein_coding	177140633	177251558	rs4650963	1.16E-08	108	1	177237533	177334782	Yes
TLE3	protein_coding	70340129	70390515	rs12148337	1.16E-08	109	15	70573650	70618956	Yes
OTOL1	protein_coding	161214596	161221730	rs489939	1.24E-08	110	3	161394234	161518228	No
BC037927	ncRNA	92338754	92400146	rs634940	1.30E-08	111	6	93063529	93165206	No
LINC01288	ncRNA	34641439	34722316	rs55669358	1.37E-08	112	8	34257317	34386259	No
CACNA1D	protein_coding	53528683	53847760	rs312477	1.38E-08	113	3	53443354	53538107	No
MIR548AJ2	miRNA	37883148	37883239	rs215411	1.40E-08	114	4	23366446	23443426	Yes
SOX5	protein_coding	23682440	24103966	rs1120004	1.42E-08	115	12	23477601	23637351	Yes
RBFOX1	protein_coding	6069095	7763340	rs12447542	1.44E-08	116	16	7744180	7744180	No
EPN2	protein_coding	19118928	19240028	rs66885728	1.47E-08	117	17	19014831	19183427	No
EPN2-AS1	antisense	19199909	19209574	rs66885728	1.47E-08	117	17	19014831	19183427	No
EPN2-IT1	ncRNA	19174706	19177701	rs66885728	1.47E-08	117	17	19014831	19183427	No
GRAPL	protein_coding	19030782	19062489	rs66885728	1.47E-08	117	17	19014831	19183427	No
LOC79999	ncRNA	19251211	19259311	rs66885728	1.47E-08	117	17	19014831	19183427	No
LOC388436	ncRNA	19122787	19125840	rs66885728	1.47E-08	117	17	19014831	19183427	No
DFNA5	protein_coding	24737972	24809244	rs146678232	1.63E-08	118	7	24719606	24799227	Yes
MPP6	protein_coding	24612887	24733812	rs146678232	1.63E-08	118	7	24719606	24799227	Yes
BCL11B	protein_coding	99635624	99737861	rs35604463	1.66E-08	119	14	99700080	99719219	Yes
EMB	protein_coding	49692026	49739082	rs77853293	1.77E-08	120	5	49441779	49884022	No
HS3ST5	protein_coding	114376750	114664209	rs760608	1.90E-08	121	6	114679177	114722063	No
LINC00606	lincRNA	10801169	10805877	rs6800435	2.00E-08	122	3	10800703	10807667	No
EHBP1L1	protein_coding	65343509	65360121	rs58950470	2.07E-08	123	11	65378028	65485218	No
KAT5	protein_coding	65479467	65487075	rs58950470	2.07E-08	123	11	65378028	65485218	No
KCNK7	protein_coding	65360326	65363467	rs58950470	2.07E-08	123	11	65378028	65485218	No
MAP3K11	protein_coding	65365226	65382853	rs58950470	2.07E-08	123	11	65378028	65485218	No
MIR4489	miRNA	65416663	65416724	rs58950470	2.07E-08	123	11	65378028	65485218	No
MIR4690	miRNA	65403781	65403840	rs58950470	2.07E-08	123	11	65378028	65485218	No
PCNXL3	protein_coding	65383244	65404910	rs58950470	2.07E-08	123	11	65378028	65485218	No
RELA	protein_coding	65421067	65430565	rs58950470	2.07E-08	123	11	65378028	65485218	No
RNASEH2C	protein_coding	65482367	65488418	rs58950470	2.07E-08	123	11	65378028	65485218	No
SIPA1	protein_coding	65405568	65418401	rs58950470	2.07E-08	123	11	65378028	65485218	No
BTG1	protein_coding	92536286	92539673	rs4240748	2.15E-08	124	12	92243186	92258265	Yes
SEMA6D	protein_coding	47476298	48066420	rs281299	2.19E-08	125	15	47686081	47686081	No
ANKRD63	protein_coding	40573645	40574787	rs56282503	2.30E-08	126	15	40566759	40602256	Yes
PAK6	protein_coding	40509629	40569688	rs56282503	2.30E-08	126	15	40566759	40602256	Yes
PLCB2	protein_coding	40570377	40600136	rs56282503	2.30E-08	126	15	40566759	40602256	Yes
GPR52	protein_coding	174417212	174418683	rs6701877	2.37E-08	127	1	173867252	174613056	No
RABGAP1L	protein_coding	174128548	174964445	rs6701877	2.37E-08	127	1	173867252	174613056	No
RC3H1	protein_coding	173900352	173991435	rs6701877	2.37E-08	127	1	173867252	174613056	No
SERPINC1	protein_coding	173872947	173886516	rs6701877	2.37E-08	127	1	173867252	174613056	No
ZBTB37	protein_coding	173837220	173872687	rs6701877	2.37E-08	127	1	173867252	174613056	No
ATPAF2	protein_coding	17880723	17942523	rs4925114	2.64E-08	128	17	17649172	17967397	Yes
GID4	protein_coding	17942606	17971718	rs4925114	2.64E-08	128	17	17649172	17967397	Yes
LRRC48	protein_coding	17876127	17920203	rs4925114	2.64E-08	128	17	17649172	17967397	Yes
MIR33B	miRNA	17717150	17717245	rs4925114	2.64E-08	128	17	17649172	17967397	Yes
MIR6777	miRNA	17910166	17910231	rs4925114	2.64E-08	128	17	17649172	17967397	Yes
RAI1	protein_coding	17584787	17714767	rs4925114	2.64E-08	128	17	17649172	17967397	Yes
SMCR5	antisense	17680000	17682843	rs4925114	2.64E-08	128	17	17649172	17967397	Yes
SREBF1	protein_coding	17713713	17740325	rs4925114	2.64E-08	128	17	17649172	17967397	Yes
TOM1L2	protein_coding	17746828	17875736	rs4925114	2.64E-08	128	17	17649172	17967397	Yes
PLCL2	protein_coding	16844159	17132086	rs9881798	2.81E-08	129	3	16845144	16876476	No
C4orf27	protein_coding	170650616	170679104	rs10520163	2.81E-08	130	4	170357792	170646003	Yes
CLCN3	protein_coding	170533784	170644824	rs10520163	2.81E-08	130	4	170357792	170646003	Yes
NEK1	protein_coding	170314426	170533780	rs10520163	2.81E-08	130	4	170357792	170646003	Yes
LINC01761	ncRNA	95940293	95944912	rs6680011	2.83E-08	131	1	95837686	95889947	No
PTPRK	protein_coding	128289924	128841870	rs35736453	2.95E-08	132	6	128301981	128333682	No
EMX1	protein_coding	73143389	73162020	rs2077586	2.96E-08	133	2	73161551	73168593	No
SFXN5	protein_coding	73169165	73302747	rs2077586	2.96E-08	133	2	73161551	73168593	No
B3GAT1	protein_coding	134248398	134281812	rs893949	2.98E-08	134	11	134290032	134297345	No
LOC283177	ncRNA	134306376	134375555	rs893949	2.98E-08	134	11	134290032	134297345	No
LINC00862	lincRNA	200311672	200343482	rs6678676	3.22E-08	135	1	200253612	200269903	No
PDE4B	protein_coding	66258197	66840259	rs12129719	3.35E-08	136	1	66304167	66333877	No
MSRA	protein_coding	9911778	10286401	rs11993663	3.40E-08	137	8	10030698	10057705	No
ACD	protein_coding	67691415	67694713	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
C16orf86	protein_coding	67700719	67702661	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
CENPT	protein_coding	67862060	67881714	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
CTRL	protein_coding	67961543	67966317	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
DDX28	protein_coding	68055179	68057770	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
DPEP2	protein_coding	68021297	68034489	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
DPEP3	protein_coding	68009566	68014732	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
DUS2	protein_coding	68021649	68113223	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
EDC4	protein_coding	67906926	67918406	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
ENKD1	protein_coding	67696848	67701168	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
ESRP2	protein_coding	68263014	68272005	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
GFOD2	protein_coding	67708434	67753324	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
LCAT	protein_coding	67973653	67978034	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
DPEP2NB	protein_coding	68047339	68049814	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
MIR6773	miRNA	68267329	68267402	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
NFATC3	protein_coding	68118654	68263162	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
NRN1L	protein_coding	67918708	67922758	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
NUTF2	protein_coding	67880635	67906470	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
PARD6A	protein_coding	67694849	67696681	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
PLA2G15	protein_coding	68279207	68294961	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
PSKH1	protein_coding	67927175	67963581	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
PSMB10	protein_coding	67968405	67970990	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
RANBP10	protein_coding	67757005	67840555	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
RLTPR	protein_coding	67678822	67691472	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
SLC7A6	protein_coding	68298433	68335722	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
SLC12A4	protein_coding	67977377	68003504	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
THAP11	protein_coding	67876213	67878097	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
TSNAXIP1	protein_coding	67840668	67866051	rs1975802	3.56E-08	138	16	67708897	68305708	Yes
DPYD	protein_coding	97543299	98386605	rs11165867	3.87E-08	139	1	97800233	97885249	Yes
DPYD-AS1	antisense	97561479	97788511	rs11165867	3.87E-08	139	1	97800233	97885249	Yes
INPP4B	protein_coding	142944313	143768585	rs13121251	4.06E-08	140	4	143742567	143883013	No
CALB2	protein_coding	71392616	71424341	rs2161711	4.22E-08	141	16	71216588	71392062	No
CMTR2	protein_coding	71315292	71323618	rs2161711	4.22E-08	141	16	71216588	71392062	No
HYDIN	protein_coding	70841281	71264625	rs2161711	4.22E-08	141	16	71216588	71392062	No
LINC00461	lincRNA	87803363	87986858	rs254782	4.40E-08	142	5	87676693	88195380	No
LINC02060	ncRNA	87704799	87734907	rs254782	4.40E-08	142	5	87676693	88195380	No
MEF2C	protein_coding	88013975	88199922	rs254782	4.40E-08	142	5	87676693	88195380	No
MEF2C-AS1	antisense	88179145	88762215	rs254782	4.40E-08	142	5	87676693	88195380	No
MIR9-2	ncRNA	87962671	87962757	rs254782	4.40E-08	142	5	87676693	88195380	No
TMEM161B-AS1	antisense	87564712	87732502	rs254782	4.40E-08	142	5	87676693	88195380	No
CCDC175	protein_coding	59971257	60043549	rs150437760	4.58E-08	143	14	59864362	60033892	No
GPR135	protein_coding	59895740	59932060	rs150437760	4.58E-08	143	14	59864362	60033892	No
JKAMP	protein_coding	59951161	59972128	rs150437760	4.58E-08	143	14	59864362	60033892	No
L3HYPDH	protein_coding	59927081	59951148	rs150437760	4.58E-08	143	14	59864362	60033892	No
RPTOR	protein_coding	78518619	78940171	rs7225476	4.86E-08	144	17	78557051	78685626	No
PRKCB	protein_coding	23847322	24231932	rs198160	4.88E-08	145	16	24238065	24240725	No
